Ody Abbott
Merito Acosta
Cristhian Adames
Babe Adams
Herb Adams
Red Adams
Sparky Adams
Jo Adell
Morrie Aderholt
Ehire Adrianza
Shogo Akiyama
Butch Alberts
Hanser Alberto
Ozzie Albies
Vic Albury
Arismendy Alcantara
Vic Aldridge
Nin Alexander
Walt Alexander
Cam Alldred
Ham Allen
Sled Allen
Gair Allie
Mel Almada
Yency Almonte
Zoilo Almonte
Yonder Alonso
Matty Alou
Whitey Alpermann
Garvin Alston
Porfi Altamirano
Clemente Alvarez
Ossie Alvarez
Tavo Alvarez
Yordan Alvarez
Adbert Alzolay
Alexi Amarista
Chip Ambres
Red Ames
Doc Amole
Alf Anderson
Ferrell Anderson
Goat Anderson
Red Anderson
Sparky Anderson
Varney Anderson
Wingo Anderson
Hub Andrews
Ivy Andrews
Wyman Andrus
Norm Angelini
Cap Anson
Tejay Antone
Nori Aoki
Sherten Apostel
Aristides Aquino
Rugger Ardizoia
Kohei Arihara
Buzz Arlett
Morrie Arnovich
Orie Arntzen
Erisbel Arruebarrena
Tug Arundel
Willians Astudillo
Lefty Atkinson
Tex Aulds
Phillippe Aumont
Chick Autry
Abiatal Avelino
Doc Ayers
Shooty Babitt
Les Backman
Akil Baddoo
Lore Bader
Red Badgro
Ji Hwan Bae
Cha-Seung Baek
Danys Baez
Jersey Bakley
Bock Baker
Home Run Baker
Kirtley Baker
Luken Baker
Norm Baker
Kid Baldwin
Lady Baldwin
Orson Baldwin
Wladimir Balentien
Pelham Ballenger
Win Ballou
Studs Bancker
Sal Bando
Red Barbary
Red Barkley
Babe Barna
Eppie Barnes
Honey Barnes
Junie Barnes
Lute Barnes
Red Barnes
Skeeter Barnes
Les Barnhart
Vic Barnhart
Salome Barojas
Cuno Barragan
Red Barrett
Tres Barrera
Yhonathan Barrios
Cuke Barrows
Red Barron
Hardin Barry
Kimera Bartee
Les Bartholomew
Irv Bartling
Daric Barton
Luis Alexander Basabe
Walt Bashore
Doc Bass
Norm Bass
Paddy Baumann
Moose Baxter
