Ody Abbott
Cristhian Adames
Babe Adams
Herb Adams
Red Adams
Sparky Adams
Jo Adell
Morrie Aderholt
Shogo Akiyama
Butch Alberts
Ozzie Albies
Vic Albury
Arismendy Alcantara
Vic Aldridge
Walt Alexander
Cam Alldred
Ham Allen
Mel Almada
Zoilo Almonte
Matty Alou
Garvin Alston
Clemente Alvarez
Ossie Alvarez
Tavo Alvarez
Yordan Alvarez
Alexi Amarista
Chip Ambres
Red Ames
Doc Amole
Alf Anderson
Ferrell Anderson
Red Anderson
Sparky Anderson
Varney Anderson
Hub Andrews
Ivy Andrews
Wyman Andrus
Norm Angelini
Cap Anson
Tejay Antone
Nori Aoki
Aristides Aquino
Kohei Arihara
Buzz Arlett
Morrie Arnovich
Orie Arntzen
Tug Arundel
Lefty Atkinson
Tex Aulds
Phillippe Aumont
Chick Autry
Doc Ayers
Les Backman
Akil Baddoo
Red Badgro
Jersey Bakley
Kirtley Baker
Luken Baker
Norm Baker
Kid Baldwin
Orson Baldwin
Wladimir Balentien
Pelham Ballenger
Win Ballou
Sal Bando
Red Barbary
Red Barkley
Babe Barna
Eppie Barnes
Junie Barnes
Lute Barnes
Red Barnes
Skeeter Barnes
Les Barnhart
Vic Barnhart
Salome Barojas
Red Barrett
Tres Barrera
Red Barron
Hardin Barry
Les Bartholomew
Irv Bartling
Daric Barton
Walt Bashore
Doc Bass
Norm Bass
Paddy Baumann
Eduard Bazardo
Yorman Bazardo
Lew Beasley
Ginger Beaumont
Heinz Becker
Zinn Beck
Howie Bedell
Cam Bedrosian
Jodie Beeler
Petie Behan
Mel Behney
Fern Bell
Les Bell
Engel Beltre
Rigo Beltran
Yamil Benitez
Butch Benton
Rube Benton
Sid Benton
Augie Bergamo
Moe Berg
Wynton Bernard
Yogi Berra
Geronimo Berroa
Huck Betts
Cavan Biggio
Dann Bilardello
Jud Birchall
Red Bird
Babe Birrer
Rivington Bisland
Red Bittmann
Ewell Blackwell
Lena Blackburne
Vic Black
Rae Blaemire
Linc Blakely
Sheriff Blake
Damaso Blanco
Dairon Blanco
Gregor Blanco
Ossie Blanco
Ronel Blanco
Larvell Blanks
Marv Blaylock
Ossie Bluege
Lu Blue
Vida Blue
Red Bluhm
Geoff Blum
Milt Bocek
Ping Bodie
Milt Bolling
Skye Bolt
Walt Bond
Nino Bongiovanni
Jung Bong
Tiny Bonham
Red Booles
Red Borom
Babe Borton
Mel Bosser
Medric Boucher
Chick Bowen
Sumner Bowman
Red Bowser
Cloyd Boyer
Clete Boyer
Buzz Boyle
Silvino Bracho
Zach Braddock
